frame,marker,x,y,z
1,HeadFront,-792.9149700395378,720.9439741778548,4077.6960033368423
1,HeadSide,-792.9149858973539,720.9440071711196,4077.696004325394
1,BackTop,-792.915002795193,720.9439647664491,4077.6961027748766
1,Chest,-792.9150175017242,720.9439775871792,4077.696126010035
1,BackLeft,-792.9150816605998,720.9441951042807,4077.6960244161583
1,BackRight,-792.9150706034163,720.9440329692064,4077.696198472828
1,WaistLFront,-792.9150404067352,720.943942103412,4077.696231790823
1,WaistRFront,-792.9150727119996,720.9440215719255,4077.6962184163845
1,WaistLBack,-792.9150326469019,720.9439256537318,4077.696231688497
1,WaistRBack,-792.9151237401376,720.9440218303849,4077.696354473561
1,LShoulderBack,-792.9149593630251,720.943965620809,4077.695985518456
1,RShoulderBack,4880193.394543978,2292104.6741728443,1830874.7838750742
1,LShoulderTop,-792.9149784537508,720.9439406156615,4077.696067990528
1,RShoulderTop,-792.9150113518198,720.944027235767,4077.696047220186
1,LElbowOut,-792.9149564263615,720.9438732986011,4077.6960935800116
1,RElbowOut,-792.9150393537262,720.9440941568157,4077.696038070217
1,LUArmHigh,-792.9149794029047,720.9439038932325,4077.6961166297597
1,RUArmHigh,-792.9150399481481,720.9440599236768,4077.6960826565164
1,LWristOut,-792.9150811731859,720.9441847264623,4077.696036151676
1,RWristOut,-792.9149398428546,720.9438058656946,4077.6961338568894
1,LWristIn,-792.914943693858,720.9438148601291,4077.6961328693164
1,RWristIn,-792.9150698421622,720.9441631822588,4077.696032910884
1,LHandOut,-792.9150873189803,720.9442028131515,4077.6960298654594
1,RHandOut,-792.9149331874734,720.9437835770437,4077.696144025461
1,LThighFront,-792.9150871306981,720.9439588527994,4077.696335659018
1,RThighFront,-792.9151133202586,720.9440034598164,4077.696349679517
1,LKneeOut,-792.915099867788,720.9439532394855,4077.6963767355123
1,RKneeOut,-792.9151257371378,720.9440180512636,4077.696364550938
1,LShin,-792.9151363825291,720.9439722655102,4077.6964504231864
1,RShin,-792.9151418111356,720.9440066247641,4077.6964218297503
1,LAnkleOut,-792.9151494889736,720.9439684441129,4077.6964902227573
1,RAnkleOut,-792.9151677071274,720.9440109337021,4077.6964855962146
1,LToeOut,-792.9151489169484,720.9439603717525,4077.6964988172363
1,RToeOut,-792.9151648944244,720.9440022986603,4077.69648891326
1,LToeIn,-792.9151534596118,720.9439720989333,4077.696496244479
2,HeadTop,-792.9149669420991,720.9439824543703,4077.695984654795
2,HeadFront,-792.9149700468756,720.9439740222961,4077.6960035518387
2,HeadSide,-792.9149856508025,720.9440069026087,4077.696004003022
2,BackTop,-792.915002743067,720.9439648283403,4077.6961025577625
2,Chest,-792.9150172314133,720.9439771259764,4077.696125866156
2,BackLeft,-792.9150799947402,720.9441908130472,4077.6960253520188
2,BackRight,-792.9150705659307,720.9440329241372,4077.6961984291866
2,WaistLFront,-792.9150404633292,720.9439421912397,4077.6962318319015
2,WaistRFront,-792.9150728000824,720.9440216996474,4077.696218491542
2,WaistLBack,-792.9150326646075,720.9439256295237,4077.696231766207
2,WaistRBack,-4062393.5884836763,-1906375.2369219058,-1515209.3034922797
2,LShoulderBack,-792.9149593036882,720.9439655520611,4077.695985446036
2,RShoulderBack,4866127.812905394,2285503.1260289066,1825613.7889276466
2,LShoulderTop,-792.9149783056598,720.94394057825,4077.696067641375
2,RShoulderTop,-792.9150112873473,720.9440271831552,4077.6960471138004
2,LElbowOut,-792.9149567481965,720.9438735802934,4077.696094087244
2,RElbowOut,-792.9150392845219,720.9440939007399,4077.6960382067646
2,LUArmHigh,-792.9149793503959,720.9439039016205,4077.696116478798
2,RUArmHigh,-792.9150400452754,720.9440599976267,4077.6960828234187
2,LWristOut,-792.9150814692429,720.9441852641565,4077.696036268004
2,RWristOut,-792.9149397600204,720.9438059406032,4077.6961335413553
